group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.007714182892038767,0.005667305552467961,0.005665159770809732,0.0034843998373194256,0.014082664137884882,error_latent
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.011399317802889442,0.01424551904964917,0.008027496810726922,0.0064064080270375195,0.01777872129072026,error_latent_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.02892369182464348,0.1385509445951221,0.006975099601381589,0.004508802867911147,0.015255837197158156,error_latent_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.006301853428448079,0.008368583460210258,0.0033403923977798093,0.0020132776559742814,0.01342205221377487,error_latent_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05927974052766432,0.06364658602112953,0.03909149146357464,0.019834612861160485,0.10694633804735353,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.3402873774826539,0.21491665676635627,0.31679704471281595,0.1951072340715625,0.4551839201859111,error_param
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.2206051904991087,0.17384537300864028,0.20969360585528252,0.13574652788100794,0.2571176504700335,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05443673494743228,0.035730798734881566,0.04897462252281069,0.013638629811034834,0.09720219990542169,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.20745595066086012,0.1283303085005815,0.1987380912054622,0.11182895003675979,0.2760309973679661,error_param_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.18314328030797153,0.12244894631685137,0.18067161821891484,0.13434395530115756,0.20114702145708904,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.030832096833326536,0.025776920533584748,0.024848110826499827,0.004283854293708734,0.06675080008267452,error_log_scale
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.07924411166398154,0.05929678732607825,0.07111205828389555,0.014521864682417349,0.15568074961158637,error_log_scale
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.2206051904991087,0.17384537300864028,0.20969360585528252,0.13574652788100794,0.2571176504700335,error_log_scale
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.053157957489866306,0.03609843396948599,0.047101565220552186,0.012787004296016752,0.09609929057199783,error_log_scale_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.059723922522648944,0.043329384534296425,0.05156600995596909,0.01191319667999935,0.1139966975238633,error_log_scale_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.18314328030797153,0.12244894631685137,0.18067161821891484,0.13434395530115756,0.20114702145708904,error_log_scale_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.052504234691001156,0.06529603666738693,0.029916760428768424,0.011861000863823353,0.10694633804735353,error_latent
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.039644542719159744,0.0374816486292539,0.028496102077095516,0.01208879991474404,0.0766133148122035,error_latent
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.007714182892038767,0.005667305552467961,0.005665159770809732,0.0034843998373194256,0.014082664137884882,error_latent
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.011399317802889436,0.014245519049649172,0.008027496810726922,0.0064064080270375195,0.01777872129072026,error_latent_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.009250275598684157,0.009681795527290638,0.007727690131320889,0.005998717921648517,0.010495969632813193,error_latent_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.006301853428448079,0.008368583460210258,0.0033403923977798093,0.0020132776559742814,0.01342205221377487,error_latent_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05927974052766431,0.06364658602112953,0.03909149146357464,0.019834612861160485,0.10694633804735353,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.08808347153432933,0.05967229324045275,0.07882461117232357,0.025342559908687414,0.1586021608278915,error_param
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.2206051904991087,0.17384537300864028,0.20969360585528252,0.13574652788100794,0.2571176504700335,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.05443673494743226,0.035730798734881566,0.04897462252281069,0.013638629811034834,0.09720219990542169,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.060184605352356396,0.042815398064058895,0.05156600995596909,0.01191319667999935,0.1139966975238633,error_param_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.18314328030797153,0.12244894631685137,0.18067161821891484,0.13434395530115756,0.20114702145708904,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.07298059611692392,0.1345215176872231,0.0433594466225944,0.009358843671350354,0.13190952765985728,error_log_scale
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.13751262015225035,0.10719180077753016,0.12378569787503182,0.01239272569843237,0.2895846498018945,error_log_scale
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.2296594005627343,0.1811502043159537,0.22548996903195878,0.10941623003267094,0.2848352670261614,error_log_scale
