group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.04246304088429859,0.015317564596424907,0.0406478184611962,0.02432133760803236,0.06416018949600448,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.2609978259212772,0.2502105623664727,0.16837951032797416,0.09062113987777926,0.5365329035825614,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.018821725138745235,0.005988511558870532,0.017865206641533446,0.012342019862780124,0.026185306317144115,error_param
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.03822367514327766,0.011238115667481051,0.037941883733002,0.024231025292370353,0.05293462208948632,error_param_squared
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.16237841141106832,0.1657925925919251,0.12187035395910086,0.07438439426939604,0.2547524083631312,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.021753535623798302,0.005443691804519867,0.02106228070150322,0.015424601510866399,0.028999747494171304,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.04246304088429859,0.015317564596424907,0.0406478184611962,0.02432133760803236,0.06416018949600448,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.2609978259212772,0.2502105623664727,0.16837951032797416,0.09062113987777926,0.5365329035825614,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.018821725138745235,0.005988511558870532,0.017865206641533446,0.012342019862780124,0.026185306317144115,error_param
adapt_metric=True__damping=0.08__max_proposals=1__metric=1__probabilistic=False__reduction_factor=4__sampler_type=ghmc__step_count_method=const_step_count__step_size_factor=2,ghmc,,0.041558558809599855,0.016051202101116838,0.039529854557133856,0.026167046023608934,0.058390887886145944,error_param
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.03822367514327766,0.011238115667481051,0.037941883733002,0.024231025292370353,0.05293462208948632,error_param_squared
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.16237841141106832,0.1657925925919251,0.12187035395910086,0.07438439426939604,0.2547524083631312,error_param_squared
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.021753535623798302,0.005443691804519867,0.02106228070150322,0.015424601510866399,0.028999747494171304,error_param_squared
adapt_metric=True__damping=0.08__max_proposals=1__metric=1__probabilistic=False__reduction_factor=4__sampler_type=ghmc__step_count_method=const_step_count__step_size_factor=2,ghmc,,0.032886726105953196,0.010496697655140412,0.030953474769925597,0.020941727632995635,0.047108978067973685,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=True__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.04246304088429859,0.015317564596424907,0.0406478184611962,0.02432133760803236,0.06416018949600448,error_param
adapt_metric=True__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.2609978259212772,0.2502105623664727,0.16837951032797416,0.09062113987777926,0.5365329035825614,error_param
adapt_metric=True__metric=identity__sampler_type=nuts,NUTS,,0.018821725138745235,0.005988511558870532,0.017865206641533446,0.012342019862780124,0.026185306317144115,error_param
adapt_metric=True__damping=0.08__max_proposals=1__metric=1__probabilistic=False__reduction_factor=4__sampler_type=ghmc__step_count_method=const_step_count__step_size_factor=2,ghmc,,0.041558558809599855,0.016051202101116838,0.039529854557133856,0.026167046023608934,0.058390887886145944,error_param
