group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.15539937749753752,0.13400499815047828,0.1173254053997842,0.04601140258538138,0.28825496874958045,error_param
adapt_metric=False__metric=identity__sampler_type=nuts,NUTS,,0.2999145677221414,0.3375469038032987,0.21529366460922325,0.11430426588672049,0.3873702442228351,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.13178110007607824,0.11185219371696623,0.10991504491684517,0.027954550015257106,0.2233642633084696,error_param_squared
adapt_metric=False__metric=identity__sampler_type=nuts,NUTS,,0.24676135898221704,0.22709838435124927,0.19566047852919433,0.12874954310461742,0.2997126621216118,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.15539937749753752,0.13400499815047828,0.1173254053997842,0.04601140258538138,0.28825496874958045,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.4684805251915371,0.5396806926980845,0.3272012518940379,0.05648863277547025,1.1295392647337585,error_param
adapt_metric=False__metric=identity__sampler_type=nuts,NUTS,,0.2999145677221414,0.3375469038032987,0.21529366460922325,0.11430426588672049,0.3873702442228351,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,DR-G-HMC,,0.13178110007607824,0.11185219371696623,0.10991504491684517,0.027954550015257106,0.2233642633084696,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,DR-HMC,,0.339770590341728,0.38411579584185906,0.2368806473226946,0.05564657797106581,0.6691887180727298,error_param_squared
adapt_metric=False__metric=identity__sampler_type=nuts,NUTS,,0.24676135898221704,0.22709838435124927,0.19566047852919433,0.12874954310461742,0.2997126621216118,error_param_squared
